Date,EURO
9/3/1998,0.8797
9/4/1998,0.8827
9/7/1998,0.8793
9/8/1998,0.8822
9/9/1998,0.8776
9/10/1998,0.8611
9/11/1998,0.8628
9/14/1998,0.8667
9/15/1998,0.8622
9/16/1998,0.8632
9/17/1998,0.8609
9/18/1998,0.8625
9/21/1998,0.8604
9/22/1998,0.859
9/23/1998,0.8589
9/24/1998,0.855
9/25/1998,0.854
9/28/1998,0.8552
9/29/1998,0.8535
9/30/1998,0.8512
10/1/1998,0.8411
10/2/1998,0.8366
10/5/1998,0.8329
10/6/1998,0.8327
10/7/1998,0.8232
10/8/1998,0.8196
10/9/1998,0.8304
10/12/1998,0.8392
10/13/1998,0.8337
10/14/1998,0.8372
10/15/1998,0.8297
10/16/1998,0.8261
10/19/1998,0.8318
10/20/1998,0.8355
10/21/1998,0.8392
10/22/1998,0.8353
10/23/1998,0.8341
10/26/1998,0.8416
10/27/1998,0.8446
10/28/1998,0.8445
10/29/1998,0.8421
10/30/1998,0.8441
11/2/1998,0.8434
11/3/1998,0.8471
11/4/1998,0.8516
11/5/1998,0.8471
11/6/1998,0.8507
11/9/1998,0.8607
11/10/1998,0.8583
11/11/1998,0.8555
11/12/1998,0.8613
11/13/1998,0.8603
11/16/1998,0.85
11/17/1998,0.8512
11/18/1998,0.8525
11/19/1998,0.858
11/20/1998,0.8623
11/23/1998,0.8687
11/24/1998,0.8685
11/25/1998,0.8688
11/26/1998,0.8689
11/27/1998,0.8721
11/30/1998,0.8635
12/1/1998,0.8581
12/2/1998,0.8538
12/3/1998,0.8535
12/4/1998,0.8551
12/7/1998,0.8567
12/8/1998,0.8524
12/9/1998,0.8519
12/10/1998,0.8451
12/11/1998,0.8429
12/14/1998,0.8422
12/15/1998,0.8469
12/16/1998,0.8507
12/17/1998,0.8502
12/18/1998,0.8495
12/21/1998,0.8531
12/22/1998,0.8538
12/23/1998,0.8545
12/24/1998,0.8571
12/29/1998,0.8535
12/30/1998,0.8556
12/31/1998,0.8526
1/4/1999,0.8455
1/5/1999,0.8501
1/6/1999,0.8608
1/7/1999,0.8541
1/8/1999,0.8639
1/11/1999,0.8694
1/12/1999,0.8641
1/13/1999,0.8567
1/14/1999,0.8549
1/15/1999,0.8652
1/18/1999,0.8608
1/19/1999,0.8614
1/20/1999,0.8649
1/21/1999,0.8621
1/22/1999,0.8628
1/25/1999,0.8656
1/26/1999,0.8648
1/27/1999,0.8739
